"id_object","object_type","object_subtype","inventory_number","provenience_detail","provenance_detail","id_dating","pharaonic_ruler","id_provenience","place","archaeological_site","archaeological_context","id_location","place","country","lat","lon","current_or_former_provenances","tomb_owner_title_ids","tomb_owner_titles_unicode"
506,"architectural unit","tomb","360/Bub, Bub. I.27","Discovered by the French Ministry of Foreign Affairs and Centre National de la Recherche Scientifique under the direction of A.-P. Zivie (2001–2002)",,14,"Amenhotep IV/ Akhenaten",53,"Saqqara","Falaise du Bubasteion","Tomb of Raiay",164,"Tomb of Raiay (360/Bub)","Egypt","N 29°52'22.77""","E 31°13'25.41""",,"1096; 1518; 689","bꜣk n Jtn; sẖꜣ.w n pr ḥḏ n pr Jtn m Mn-nfr; sẖꜣ.w pr ḥḏ n pr Jtn m ꜣḫ.t-Jtn m Mn-nfr"
528,"stela","falsedoor-stela","2008-R52","Discovered by Leiden archaeological mission (2008), north of the tomb of Ptahemwia,  in dry-stone wall 2008/16, about 0.3 m above floor level.",,14,"Amenhotep IV/ Akhenaten",85,"Saqqara","Unas-Cemetery","Tomb of Ptahemwia",140,"Tomb of Ptahemwia (025/USC)","Egypt","N 29°51""57.76'","E 31°13""04.05'","Main Magazine (Saqqara)","953","wbꜣ nsw wꜥb ꜥ.wj"
2214,"stela","rectangular-stela",,"The stela was discovered in 1994 by the SCA archaeological mission at the Teti Cemetery, east of the funerary temple of Queen Iput. It was found in a secondary context, lying on the ground near the New Kingdom tomb chapel of Hatiay (id 2837).",,14,"Amenhotep IV/ Akhenaten",101,"Saqqara","Teti-Cemetery","Tomb of Hatiay",153,"Tomb of Hatiay (228/TPC)","Egypt","N 29°52'35.22""","E 31°13'21.18""",,"93","ḥr.j jr.j ḫsbḏ"
496,"stela","round-topped stela","37.1353 E",,"Charles Edwin Wilbour Fund",14,"Amenhotep IV/ Akhenaten",126,"Saqqara",,,,,,,,"The Brooklyn Museum",,
2093,"other text documents","papyrus",,,,14,"Amenhotep IV/ Akhenaten",128,"Abu Gurob",,,,,,,,,,
1991,"stela","falsedoor-stela","TNM:B19a","Discovered in the 2009 excavation season conducted by Macquarie University in the Teti Pyramid Cemetery North, were found in the fill of the eastern burial chamber of New Kingdom Tomb 2",,14,"Amenhotep IV/ Akhenaten",167,"Saqqara","Teti-Cemetery","Tomb of Meh",157,"Tomb of Meh (315/TPC)","Egypt","N 29°52'35.13"" ","E 31°13'19.22""",,"1165","ꜣṯ.w n Mn-nfr"
151,"architectural element","lintel","TN 8.11.26.6","The tomb is known from relief-decorated fragments now held in the Egyptian Museum Cairo. C. M. Zivie suggested the tomb formed part of a now-lost New Kingdom cemetery at Giza. N. Staring has proposed the Teti Pyramid Cemetery at Saqqara, where it would have stood amongst those of Ptahmay’s peers, see: N. Staring, ‘The Memphite Necropolis through the Amarna Period: A Study of Private Patronage, Transmission of Iconographic Motifs, and Scene Details’, in F. Coppens (ed.), Continuity, Discontinuity and Change: Perspectives from the New Kingdom to the Roman Era, Prague, 2021, pp. 37–41.",,14,"Amenhotep IV/ Akhenaten",171,"Saqqara","Teti-Cemetery","Tomb of Ptahmay",179,"Teti-Cemetery","Egypt","N 29°52'34.53""","E 31°13'18.61""","Egyptian Museum","88","ḥr.j jr.ww nbw pꜣq n pr Jtn"
1466,"architectural element","wall-fragment","TN 11.1.25.12","The tomb is known from relief-decorated fragments now held in the Egyptian Museum Cairo. C. M. Zivie suggested the tomb formed part of a now-lost New Kingdom cemetery at Giza. N. Staring has proposed the Teti Pyramid Cemetery at Saqqara, where it would have stood amongst those of Ptahmay’s peers, see: N. Staring, ‘The Memphite Necropolis through the Amarna Period: A Study of Private Patronage, Transmission of Iconographic Motifs, and Scene Details’, in F. Coppens (ed.), Continuity, Discontinuity and Change: Perspectives from the New Kingdom to the Roman Era, Prague, 2021, pp. 37–41.",,14,"Amenhotep IV/ Akhenaten",171,"Saqqara","Teti-Cemetery","Tomb of Ptahmay",179,"Teti-Cemetery","Egypt","N 29°52'34.53""","E 31°13'18.61""","Egyptian Museum","88","ḥr.j jr.ww nbw pꜣq n pr Jtn"
940,"architectural element","wall-fragment","TN 14.6.24.2","The tomb is known from relief-decorated fragments now held in the Egyptian Museum Cairo. C. M. Zivie suggested the tomb formed part of a now-lost New Kingdom cemetery at Giza. N. Staring has proposed the Teti Pyramid Cemetery at Saqqara, where it would have stood amongst those of Ptahmay’s peers, see: N. Staring, ‘The Memphite Necropolis through the Amarna Period: A Study of Private Patronage, Transmission of Iconographic Motifs, and Scene Details’, in F. Coppens (ed.), Continuity, Discontinuity and Change: Perspectives from the New Kingdom to the Roman
Era, Prague, 2021, pp. 37–41.",,14,"Amenhotep IV/ Akhenaten",171,"Saqqara","Teti-Cemetery","Tomb of Ptahmay",179,"Teti-Cemetery","Egypt","N 29°52'34.53""","E 31°13'18.61""","Egyptian Museum","88","ḥr.j jr.ww nbw pꜣq n pr Jtn"
1467,"architectural element","wall-fragment","TN 1.7.24.5","The tomb is known from relief-decorated fragments now held in the Egyptian Museum Cairo. C. M. Zivie suggested the tomb formed part of a now-lost New Kingdom cemetery at Giza. N. Staring has proposed the Teti Pyramid Cemetery at Saqqara, where it would have stood amongst those of Ptahmay’s peers, see: N. Staring, ‘The Memphite Necropolis through the Amarna Period: A Study of Private Patronage, Transmission of Iconographic Motifs, and Scene Details’, in F. Coppens (ed.), Continuity, Discontinuity and Change: Perspectives from the New Kingdom to the Roman
Era, Prague, 2021, pp. 37–41.",,14,"Amenhotep IV/ Akhenaten",171,"Saqqara","Teti-Cemetery","Tomb of Ptahmay",179,"Teti-Cemetery","Egypt","N 29°52'34.53""","E 31°13'18.61""","Egyptian Museum","88","ḥr.j jr.ww nbw pꜣq n pr Jtn"
